data	sample name	comment	7Li (µg/g)	23Na (%m/m)	25Mg (%m/m)	27Al (%m/m)	29Si (%m/m)	31P (%m/m)	39K (%m/m)	44Ca (%m/m)	45Sc (µg/g)	49Ti (%m/m)	51V (µg/g)	52Cr (µg/g)	55Mn (%m/m)	57Fe (%m/m)	59Co (µg/g)	60Ni (µg/g)	63Cu (µg/g)	66Zn (µg/g)	69Ga (µg/g)	89Y (µg/g)	90Zr (µg/g)
stdev	TG-12			0.0	3.6261048	0.007571287	3.5692182	0.0	0.0	0.05204501	3.488373	0.00599238	1.6040598	15.0825815	0.030178906	1.7025065	32.382343	227.17891	1.738824	43.022846	0.10763644	0.026065884	0.0
mean	TG-13			0.0	41.46186	0.03279369	39.410786	0.0	0.0	0.4077435	6.5489006	0.018693605	4.2058454	62.35353	0.273733	18.23544	187.46162	1213.848	0.0	114.723274	0.15413204	0.15083085	0.0
stdev	TG-13			0.0	3.059526	0.008579599	3.5584564	0.0	0.0	0.049724463	3.2489045	0.0063920817	1.8437804	11.258833	0.036228538	2.9193933	38.49815	286.26242	0.0	51.923283	0.0670966	0.028950855	0.0
mean	TG-14			0.0	41.61856	0.040397994	40.41393	0.0	0.0	0.41515362	6.3469915	0.021485576	5.428419	38.63013	0.26819253	17.069407	194.18901	1168.9965	2.1598592	112.68061	0.1502801	0.15516803	0.0
stdev	TG-14			0.0	3.6917727	0.009187485	3.3204544	0.0	0.0	0.05150125	3.607369	0.0059852353	2.2702062	11.783906	0.042071994	1.8422378	30.123749	249.84149	1.6572037	39.848682	0.06789991	0.025270874	0.0
mean	TG-15			0.0	45.26307	0.032028664	39.867393	0.0	0.0	0.42736882	6.153035	0.014452214	3.7645428	137.30174	0.21045393	14.014886	160.93263	1317.3315	0.0	77.82596	0.10747502	0.105952755	0.0
stdev	TG-15			0.0	3.5088296	0.008849364	3.3702495	0.0	0.0	0.048690658	3.1084569	0.004781116	1.9986807	25.376173	0.029365411	1.9856044	32.21623	239.96317	0.0	40.200176	0.065755256	0.021731578	0.0
mean	TG-16			0.0	46.32389	0.032641355	39.939	0.0	0.0	0.41020897	6.6712575	0.017655844	3.7015512	148.76866	0.20496945	12.902128	153.33786	1295.049	0.0	87.42323	0.1186583	0.1027134	0.0
stdev	TG-16			0.0	4.3262153	0.00841411	4.1879787	0.0	0.0	0.05933854	3.3582616	0.0054331827	1.6306506	22.81604	0.03839206	1.7639815	30.674616	256.78644	0.0	43.634254	0.06108415	0.022341063	0.0
mean	TG-17			0.0	41.46627	0.03673068	39.836384	0.0	0.0	0.4088676	6.4283376	0.022372745	4.855609	33.74379	0.27361414	17.80977	183.09389	1124.2181	0.0	107.362686	0.15798052	0.15863599	0.0
stdev	TG-17			0.0	3.575905	0.007212344	3.3369293	0.0	0.0	0.06065181	3.4671066	0.006050873	2.0300546	9.619816	0.043451797	2.4487705	37.722088	217.39421	0.0	44.754917	0.07007124	0.034363914	0.0
mean	TG-18			0.0	44.78963	0.034271095	40.704006	0.0	0.0	0.42792946	7.781071	0.019519804	3.7450664	139.92947	0.2206319	13.630656	162.24484	1344.8068	0.0	74.67978	0.14388573	0.112704635	0.0
stdev	TG-18			0.0	3.1661618	0.007156707	3.1195905	0.0	0.0	0.053496867	3.9209392	0.005579846	1.8880628	23.37985	0.03460304	1.9908645	27.506884	263.2007	0.0	35.81665	0.07397752	0.0217169	0.0
mean	BHVO-2G			2.4231496	7.241356	13.52691	50.038715	0.29850367	0.5134441	11.430404	32.8945	2.8231711	306.22617	307.56143	0.1705929	11.406589	46.104027	118.23374	127.17249	109.54563	22.304052	26.402643	175.23228
stdev	BHVO-2G			0.37427992	0.72615063	1.1921284	3.5734668	0.11087448	0.09067773	1.0844814	8.080833	0.36599174	41.291454	53.17727	0.023659106	2.0613167	11.095902	32.420868	27.52561	51.95907	3.1935802	2.1045506	19.557745
mean	BCR-2G			3.4642565	3.562074	13.458622	55.865196	0.3884829	1.869038	6.938221	33.720295	2.1354098	372.75067	0.0	0.20581816	12.028954	37.77118	0.0	18.089115	127.20247	30.109112	34.49747	185.15746
stdev	BCR-2G			0.58106047	0.5105713	1.5762893	3.228004	0.11897124	0.24525103	0.72227293	8.765803	0.22223347	55.664524	0.0	0.0317436	1.7588749	6.907531	0.0	4.5611277	58.17176	3.427764	2.6270318	17.528955
mean	BIR-1G			1.9328871	10.083243	15.806353	47.45002	0.0	0.027208727	13.430713	41.78265	1.0685481	310.68036	370.38327	0.18067285	9.908514	49.886276	179.71199	120.633484	0.0	15.438477	15.443355	14.476641
stdev	BIR-1G			0.4717003	1.847043	1.934489	4.3039503	0.0	0.008355255	1.3504094	11.96923	0.1586275	55.530834	62.593582	0.036957137	1.6934164	14.364395	67.67237	21.960438	0.0	1.702075	1.3974961	1.9841788
mean	MongOl			0.020110989	47.972	0.050789446	41.07485	0.0	0.0	0.10525148	0.0	0.006854977	5.1298313	124.4229	0.14148311	10.355522	140.47679	2415.5032	0.0	45.5192	0.10281834	0.06946094	0.0
stdev	MongOl			0.006214245	3.9899604	0.011212313	3.8561811	0.0	0.0	0.024121499	0.0	0.0034272922	2.273774	27.43311	0.02119217	1.522496	32.76772	553.98914	0.0	32.095177	0.07272048	0.020329995	0.0
