data	sample name	comment	7Li (µg/g)	23Na (%m/m)	25Mg (%m/m)	27Al (%m/m)	29Si (%m/m)	31P (%m/m)	39K (%m/m)	44Ca (%m/m)	45Sc (µg/g)	49Ti (%m/m)	51V (µg/g)	52Cr (µg/g)	55Mn (%m/m)	57Fe (%m/m)	59Co (µg/g)	60Ni (µg/g)	63Cu (µg/g)	66Zn (µg/g)	69Ga (µg/g)	89Y (µg/g)	90Zr (µg/g)
stdev	TG-09		0.0	0.0	3.227203	0.005532759	3.294727	0.0	0.0	0.03231161	2.1534083	0.005334746	1.7965665	11.740823	0.033741083	2.0307083	33.623074	242.89098	0.0	36.38598	0.056703374	0.023242041	0.0
mean	TG-11		1.9009516	0.0	46.485138	0.045943342	40.10212	0.0	0.0	0.31218663	5.3591046	0.009854161	5.421227	359.43393	0.17812124	12.61551	155.38945	1897.7389	0.0	85.7507	0.14625514	0.094343774	0.0
stdev	TG-11		0.90264165	0.0	2.9202428	0.005788507	2.9194872	0.0	0.0	0.028965615	2.512436	0.0032467004	2.0758102	60.236847	0.026578352	1.5246809	27.512644	296.87686	0.0	34.795662	0.067113124	0.017452389	0.0
mean	TG-12		2.6764753	0.0	39.878628	0.03523012	39.16917	0.0	0.0	0.28380838	0.0	0.022099243	3.6618443	42.145405	0.36058018	20.160511	179.63094	485.56293	0.0	185.6408	0.16831005	0.20240034	0.0
stdev	TG-12		1.0983913	0.0	3.7961166	0.0050828974	3.8578548	0.0	0.0	0.032875486	0.0	0.004618703	1.4956603	12.1781025	0.059125073	3.207494	41.684826	111.84522	0.0	49.73236	0.06863719	0.03314234	0.0
mean	TG-13		2.2067194	0.0	47.575382	0.06077069	40.505775	0.0	0.0	0.23357171	4.721345	0.0145874955	5.785281	457.9369	0.15253763	11.141375	154.92302	2457.804	0.0	76.30319	0.17949079	0.08221583	0.0
stdev	TG-13		1.033713	0.0	4.0609603	0.009062459	4.18711	0.0	0.0	0.031105593	2.5060334	0.004470466	2.0969224	73.64866	0.02536045	1.9688227	36.337124	495.20685	0.0	29.902704	0.08377937	0.016159263	0.0
mean	TG-14		2.1475878	0.0	42.90811	0.04122763	39.381332	0.0	0.0	0.34441102	0.0	0.026189027	5.0776415	51.756237	0.24024259	16.891464	185.2056	1302.6348	0.0	123.08119	0.15153608	0.14214893	0.0
stdev	TG-14		1.0421215	0.0	3.5806897	0.0051142755	3.3185415	0.0	0.0	0.040924765	0.0	0.0054702247	1.8983741	12.525134	0.03633923	2.3417747	35.3567	247.91632	0.0	38.03123	0.06415776	0.024505142	0.0
mean	TG-15		0.0	0.0	44.684315	0.03590007	39.700268	0.0	0.0	0.19931768	0.0	0.020332582	4.431765	159.67375	0.2163415	14.944164	168.45274	1557.0186	2.4424112	101.16885	0.1397633	0.08570249	0.0
stdev	TG-15		0.0	0.0	3.0495431	0.0061070337	3.1823559	0.0	0.0	0.02372098	0.0	0.0046731466	1.8704576	28.835491	0.03190221	2.3868127	29.285055	284.99106	2.0071523	33.665134	0.059473556	0.0163617	0.0
mean	TG-18		1.5504806	0.0	42.393776	0.039379455	39.038483	0.0	0.0	0.41548195	6.7452197	0.027979726	5.717048	41.074417	0.26078087	17.652266	204.34843	1324.3245	0.0	134.33556	0.16802411	0.17468324	0.0
stdev	TG-18		0.8262261	0.0	2.7126865	0.0058558104	2.9205875	0.0	0.0	0.035883885	2.6285946	0.0052436804	1.689499	11.437693	0.0362257	2.4642217	37.797283	231.35475	0.0	37.899628	0.051541395	0.02874746	0.0
mean	TG-19		2.4420066	0.0	40.819214	0.04370752	40.276814	0.0	0.0	0.31950152	6.827083	0.02921067	5.2359257	71.6575	0.269993	18.08035	187.96162	1199.6685	0.0	138.06168	0.19194977	0.15470041	0.0
stdev	TG-19		1.0138518	0.0	3.54482	0.007514795	4.1324205	0.0	0.0	0.03404929	2.6718323	0.00616995	2.2573864	16.146671	0.048005175	2.5133564	33.81184	223.69989	0.0	37.386818	0.06371611	0.02625346	0.0
mean	TG-10-01		2.4178817	0.0	40.6497	0.039260782	38.91576	0.0	0.0	0.34542322	5.4974813	0.02878979	4.55592	24.93828	0.2734953	19.572567	214.5957	1348.8809	0.0	148.77748	0.17544515	0.14969264	0.0
stdev	TG-10-01		0.875056	0.0	3.8152146	0.006318142	3.7418392	0.0	0.0	0.039498545	2.20366	0.0052926457	2.0631752	7.1964574	0.05601941	2.8907833	40.415432	274.19193	0.0	42.538395	0.07006219	0.02150963	0.0
mean	TG-10-02		2.0399218	0.0	40.95399	0.034016937	39.347248	0.0	0.0	0.36153218	5.0575213	0.025563367	4.509039	49.93288	0.27370536	18.841057	203.96391	1222.3413	0.0	140.62433	0.16365129	0.15764764	0.0
stdev	TG-10-02		0.85597444	0.0	3.1762578	0.004795354	3.210077	0.0	0.0	0.0405721	1.8451595	0.005393798	1.8940059	11.071693	0.039161038	2.53638	37.82098	191.60072	0.0	39.10671	0.053441517	0.027116237	0.0
mean	TG-04		2.198458	0.0	39.923546	0.036253568	39.13806	0.0	0.0	0.3609394	5.0333834	0.024005625	5.180026	19.761469	0.2678309	20.088373	214.99707	1216.9801	0.0	145.3991	0.15304036	0.14774817	0.0
stdev	TG-04		1.002915	0.0	3.2693033	0.0058573	3.0088596	0.0	0.0	0.03766496	1.8351339	0.00478529	1.9886248	6.760314	0.03851936	3.0214841	47.846027	236.59796	0.0	37.135895	0.0642551	0.024180604	0.0
mean	BHVO-2G		4.442081	2.4231207	7.128793	13.615799	50.28636	0.2929876	0.4982982	11.43426	33.23599	2.8038323	310.13034	296.4394	0.17179829	11.219251	44.252697	118.1809	129.52611	100.15196	21.985579	26.12052	170.47134
stdev	BHVO-2G		1.8356886	0.45608112	0.938409	1.586996	3.5066373	0.07277036	0.115228824	0.91874933	8.047847	0.3419611	56.250492	53.334335	0.028512262	1.6214916	10.792011	38.55815	24.419949	39.55176	2.6448822	2.0633428	19.136318
mean	BCR-2G		8.346032	3.3475845	3.4577036	13.396036	55.263233	0.37908193	1.8519771	7.034057	34.5099	2.3039079	400.93097	0.0	0.20460367	12.671571	38.31646	0.0	19.332302	146.9267	30.941154	36.419136	186.64743
stdev	BCR-2G		3.3339458	0.677551	0.4830519	1.585234	3.722667	0.10718994	0.4705949	0.64324945	7.8965764	0.2821004	67.64945	0.0	0.028590137	1.7487606	10.966026	0.0	8.511296	48.638	2.9214697	3.1997569	19.393013
mean	BIR-1G		3.3136508	1.9005498	9.63192	15.4476	47.906345	0.0	0.025052961	13.429318	45.156715	1.0433236	326.9053	397.99368	0.18056908	10.311394	53.63515	174.37099	123.974976	69.60101	14.502483	15.552525	14.272912
stdev	BIR-1G		1.7996848	0.44835767	1.7095884	1.6808904	4.386453	0.0	0.007763561	1.2582251	10.543816	0.122435	64.035034	81.42202	0.035422415	1.7992363	16.795553	65.45229	26.997213	35.869545	1.8217752	1.4059621	2.0494475
mean	MongOl		2.1245189	0.0	47.25037	0.04978181	41.616093	0.0	0.0	0.10580392	0.0	0.0064297332	5.1057982	125.00885	0.15152173	10.526876	147.39754	2588.4111	0.0	62.88803	0.12950383	0.07522498	0.0
stdev	MongOl		1.049672	0.0	3.856494	0.007581181	3.7811444	0.0	0.0	0.017023418	0.0	0.002645152	1.8901489	29.008154	0.026430175	1.7439187	32.24965	560.81696	0.0	25.848698	0.056310564	0.017202578	0.0
