data	sample name	comment	7Li (µg/g)	23Na (%m/m)	25Mg (%m/m)	27Al (%m/m)	29Si (%m/m)	31P (%m/m)	39K (%m/m)	44Ca (%m/m)	45Sc (µg/g)	49Ti (%m/m)	51V (µg/g)	52Cr (µg/g)	55Mn (%m/m)	57Fe (%m/m)	59Co (µg/g)	60Ni (µg/g)	63Cu (µg/g)	66Zn (µg/g)	69Ga (µg/g)	89Y (µg/g)	90Zr (µg/g)
mean	TG-10		0.0	0.0	44.37393	0.033222876	40.91193	0.0	0.0	0.34482938	5.3481035	0.016713476	4.0423546	148.0476	0.23371291	13.889258	169.74916	1543.9161	0.0	92.74627	0.0	0.11023548	0.052608803
stdev	TG-10		0.0	0.0	4.4748344	0.005399568	4.7092767	0.0	0.0	0.03600602	2.0432646	0.0043362817	1.6071733	29.42688	0.046790607	2.4440546	47.16802	375.99265	0.0	29.57612	0.0	0.020386305	0.036863327
mean	TG-11		0.0	0.009799126	44.353786	0.0348621	41.762905	0.0	0.0	0.34076896	4.4097095	0.012281353	4.056274	225.27444	0.19985361	13.0791445	152.87723	1590.9727	0.0	88.39997	0.0	0.0984614	0.0
stdev	TG-11		0.0	0.0026678618	3.5617542	0.005054417	3.6244547	0.0	0.0	0.035644785	1.9096004	0.0034797583	1.4670132	43.810925	0.034501303	1.9751236	33.616695	296.01392	0.0	25.878878	0.0	0.016586876	0.0
mean	TG-13		0.0	0.0	43.900925	0.033691674	42.355858	0.0	0.0	0.3515852	5.8226604	0.016513502	3.9436004	156.72115	0.2117914	12.931834	160.40477	1569.1321	0.0	81.89525	0.0	0.10106517	0.0
stdev	TG-13		0.0	0.0	2.9824975	0.004326164	3.3594382	0.0	0.0	0.038008697	2.206144	0.0047871033	1.6472181	22.934544	0.0325956	1.4021587	20.084295	272.80524	0.0	25.318192	0.0	0.018708399	0.0
mean	TG-14		3.3510637	0.0	36.1832	0.030280253	38.992447	0.0	0.0	0.27925357	3.458788	0.02918902	6.236482	0.0	0.44605085	23.91877	201.33278	802.4016	0.0	190.71162	0.16556159	0.2695713	0.10904762
stdev	TG-14		1.5061147	0.0	4.579757	0.004137295	4.9962645	0.0	0.0	0.0353096	1.8325611	0.0062193736	2.2175589	0.0	0.10596984	4.475739	54.181065	216.14044	0.0	57.02531	0.06265828	0.0367845	0.06173656
mean	TG-15		0.0	0.0	44.869873	0.034823075	41.157185	0.0	0.0	0.33060747	4.882343	0.015321474	4.5322094	194.38864	0.20699081	13.18466	153.29022	1561.705	2.9936063	83.47716	0.0	0.10218255	0.0
stdev	TG-15		0.0	0.0	3.6883216	0.0049653677	3.547434	0.0	0.0	0.03967432	2.3869145	0.004352186	1.5593789	31.759104	0.026162617	1.7665002	24.536839	253.2275	1.7740973	29.6384	0.0	0.016415767	0.0
mean	TG-16		3.0016701	0.0	37.382996	0.028602961	39.71452	0.0	0.0	0.28402892	0.0	0.018479344	5.067707	0.0	0.40134054	22.0352	203.83665	957.64655	0.0	178.37329	0.14922474	0.2404646	0.08801121
stdev	TG-16		1.1704804	0.0	3.31249	0.0045337467	4.12011	0.0	0.0	0.029558057	0.0	0.0038900466	1.666977	0.0	0.052801285	3.1067903	40.143394	163.61829	0.0	46.65005	0.0601857	0.028802847	0.047070213
mean	TG-17		1.8675084	0.0	45.09535	0.032953437	40.59935	0.0	0.0	0.34392697	5.28331	0.017126448	3.975519	210.01163	0.21542539	13.472627	171.85759	1748.5945	2.552815	88.00377	0.1354893	0.099798486	0.0
stdev	TG-17		0.9632035	0.0	4.5712733	0.005847922	4.784273	0.0	0.0	0.042526986	2.5642743	0.0043708603	1.586824	46.116447	0.047026794	3.130288	62.097095	544.0264	1.6940817	35.002625	0.06782159	0.018974474	0.0
mean	TG-18		3.5834496	0.0	37.861843	0.029078083	38.448708	0.0	0.0	0.29685834	0.0	0.013353836	5.898695	27.356699	0.43529773	22.789583	204.28789	787.17535	0.0	223.85579	0.15055543	0.27663857	0.084712476
stdev	TG-18		1.4696554	0.0	3.8578956	0.004811222	4.0997767	0.0	0.0	0.034339912	0.0	0.0033604936	2.236614	9.416647	0.076464176	3.9308245	61.775032	242.33963	0.0	85.45417	0.04920466	0.038231794	0.05407405
mean	TG-19		1.7883284	0.0105083985	44.967968	0.03837526	41.914238	0.0	0.0	0.3240346	4.76473	0.013114675	4.2245793	261.78732	0.19181873	12.306925	154.37695	1810.216	3.0277686	90.05778	0.0	0.09496313	0.0
stdev	TG-19		0.9635742	0.003340012	3.9482195	0.0051035304	4.1949606	0.0	0.0	0.039065845	2.174845	0.004233085	1.6020769	46.202114	0.034719035	2.1146183	34.34261	405.0961	2.083125	39.733128	0.0	0.019206077	0.0
mean	TG-20		2.0135746	0.006716034	39.089996	0.031315602	40.272408	0.0	0.0	0.25514117	3.809	0.023779677	4.672391	0.0	0.32367185	19.89535	193.47676	665.1445	0.0	146.80234	0.13221858	0.15349759	0.0
stdev	TG-20		0.84800106	0.0018249184	3.8412917	0.0047623534	4.164551	0.0	0.0	0.027595505	1.7607181	0.00497643	2.014553	0.0	0.05506795	3.1003444	43.521084	159.59698	0.0	42.98078	0.10328773	0.025227567	0.0
mean	TG-21		0.0	0.0	43.02608	0.03479943	40.878906	0.0	0.0	0.316075	5.10228	0.017507406	4.688349	84.293396	0.24389842	15.299109	183.77618	1446.4767	2.9444444	108.83369	0.14076065	0.11590354	0.05283536
stdev	TG-21		0.0	0.0	4.5138164	0.0046791937	4.6106772	0.0	0.0	0.034002397	1.9278015	0.00423342	1.5651219	17.928095	0.04221811	2.5041666	43.697422	295.48257	1.7753353	34.37327	0.052561898	0.018079491	0.036947727
mean	TG-22		0.0	0.5342004	14.174191	4.216348	49.760635	0.0	0.0	21.943184	59.803318	1.6114182	243.17921	0.0	0.21906601	7.48622	31.775085	14.812188	0.0	47.349842	8.952208	28.59755	112.96436
stdev	TG-22		0.0	0.114401944	1.4210501	0.49270102	3.5905156	0.0	0.0	2.0222273	9.952009	0.17644441	34.68998	0.0	0.034644373	1.108735	10.365924	7.6839666	0.0	19.758831	1.0724967	2.5495982	13.278248
mean	TG-12-01		0.0	0.0	44.174004	0.038045976	42.26114	0.0	0.0	0.3583998	5.1329823	0.016315257	4.595784	186.8745	0.21069787	12.734971	160.27875	1614.6749	2.7998538	90.0097	0.0	0.10914468	0.0
stdev	TG-12-01		0.0	0.0	4.617459	0.0056625935	4.7271433	0.0	0.0	0.03756852	2.3812287	0.0042303517	1.8480903	37.418755	0.03705164	2.2385051	41.589806	430.73523	1.8234053	39.85721	0.0	0.01862053	0.0
mean	BHVO-2G		4.3545957	2.3752022	7.105079	13.809419	50.422226	0.2980136	0.5101538	11.162342	32.64583	2.778793	310.51016	294.96057	0.16917367	11.244806	42.810314	117.96252	126.40227	101.36502	21.849047	25.864592	169.20137
stdev	BHVO-2G		2.0892596	0.58901286	1.0664744	1.9375821	5.547048	0.08858074	0.13551073	1.2785853	7.46861	0.29820698	55.742115	59.23226	0.02494611	2.5545313	14.093696	38.919266	28.544558	36.782497	2.3730931	2.5111349	19.007017
mean	BHVO-2G		5.646102	2.4113116	7.057099	13.389673	50.71839	0.28744954	0.51532644	11.182218	32.85815	2.796408	302.59686	293.36722	0.17111816	11.346967	43.182003	119.163635	125.78775	102.1601	21.784966	25.789541	167.89122
stdev	BHVO-2G		2.4864733	0.61640596	1.072726	1.8292404	4.5230956	0.09095821	0.12904787	1.157426	9.332308	0.33449793	50.344845	73.04853	0.034188278	1.8086236	11.689666	39.561825	30.02937	45.819134	2.270413	2.3235798	17.257221
mean	BCR-2G		18.317553	3.4859247	3.4099252	13.1929035	55.599674	0.420658	1.7160922	7.0298157	34.880737	2.2583218	404.0882	0.0	0.19228087	12.598562	35.028538	0.0	18.859566	194.21718	31.943104	35.924465	185.24458
stdev	BCR-2G		6.3151674	0.7379773	0.4539512	1.2792616	4.1123447	0.122456506	0.37814477	0.7379077	9.318236	0.2526016	77.922104	0.0	0.031630695	2.261829	10.239499	0.0	6.76756	70.88405	3.0617409	3.083192	17.979847
mean	BHVO-2G			2.2624228	6.9366865	13.200917	51.827473	0.28323314	0.48798	11.044087	32.58496	2.7057495	302.51764	282.1129	0.16484019	10.975445	42.747307	115.86665	124.37902		21.349104	25.223026	164.89838
stdev	BHVO-2G			0.938191	1.7236786	3.1492898	9.172217	0.18923888	0.21417299	2.2472641	11.269017	0.61413574	96.775154	101.4632	0.045344543	3.334038	18.985123	64.01609	44.235806		4.7529144	5.0820475	34.998676
mean	TG-12-02-BZ			9.886467	10.63379	1.4040176	65.33556	0.0	0.42540067	7.1525435	0.0	0.19592808	14.517431	0.0	0.09014332	4.8473215	33.308178	190.19012	0.0	0.0	4.2970796	2.817941	43.235188
stdev	TG-12-02-BZ			3.3878226	3.0572703	0.4699784	7.7692127	0.0	0.14770001	1.8648556	0.0	0.08642584	11.401288	0.0	0.026643783	1.1864116	17.39955	93.25483	0.0	0.0	1.5599886	0.8853847	13.496698
mean	TG-12-03-WZ			0.0	42.28708	0.031259086	44.341217	0.0	0.0	0.36843693	0.0	0.016031198	4.120086	173.10776	0.21484405	12.539604	166.10904	1466.402	0.0	205.35658	0.0	0.10955594	0.0
stdev	TG-12-03-WZ			0.0	6.298217	0.0070311916	7.2241397	0.0	0.0	0.0634454	0.0	0.0064573013	2.7869964	41.865482	0.06985908	2.029122	47.33624	428.54355	0.0	117.15126	0.0	0.031504087	0.0
mean	BCR-2G			3.3633034	3.6017163	13.511753	56.02441	0.41916677	1.8182634	6.957607	33.02379	2.238747	389.84555	0.0	0.19535236	11.778313	38.07623	0.0	16.909868	179.02422	32.613422	36.179577	188.11836
stdev	BCR-2G			1.1785408	0.91599226	2.5863225	7.648419	0.20480517	0.68406063	1.2330667	14.003062	0.4494989	103.31931	0.0	0.058699556	2.9562669	20.581928	0.0	9.583349	118.38032	6.8319383	6.4902472	38.320568
mean	BHVO-2G			2.3806992	7.016774	13.323688	51.28287	0.28905135	0.5077051	11.172421	31.934793	2.743412	304.3355	286.5929	0.16652279	10.995067	42.93801	113.714066	124.36352	100.08122	21.588781	25.553173	166.75029
stdev	BHVO-2G			0.68319374	1.5424876	2.733689	8.393986	0.12962332	0.14723188	2.2907562	14.47872	0.5902751	76.77451	92.73537	0.0406063	2.9294224	18.45839	57.093334	41.684387	66.20403	4.4348936	4.388801	32.133118
mean	BCR-2G			3.0513532	3.7209876	13.071708	56.911625	0.439377	1.6360439	7.038403	31.972172	2.2721765	375.00418	0.0	0.18101384	11.594674	39.345707	0.0	15.416536	117.787315	31.26547	35.256393	180.37366
stdev	BCR-2G			0.8109117	1.1529052	2.7587893	7.7464514	0.23672654	0.46860656	1.4848233	12.130437	0.45504114	106.215576	0.0	0.042283993	2.4141939	17.568478	0.0	11.255669	80.617134	6.3650184	6.3206162	32.80441
